iter	RMSE
0	0.7522614866
1	0.716477291
2	0.6836322158
3	0.6552563968
4	0.6301540925
5	0.6083534606
6	0.5892819963
7	0.5728019554
8	0.5578634606
9	0.5451539895
10	0.5335641511
11	0.524138966
12	0.5155258433
13	0.5065680621
14	0.4988376558
15	0.4926390898
16	0.4870153632
17	0.4821021062
18	0.4764436385
19	0.4716404775
20	0.4681378099
21	0.4645132056
22	0.4616899044
23	0.4587313882
24	0.4563384978
25	0.4536508175
26	0.4514108469
27	0.4496799657
28	0.4477457971
29	0.4460360302
30	0.444018818
31	0.441545886
32	0.4397113636
33	0.4385147506
34	0.4375796233
35	0.4364716133
36	0.4345068872
37	0.4334245927
38	0.4321034272
39	0.430596572
40	0.4291047224
41	0.4275812306
42	0.4268687211
43	0.4259277803
44	0.4247862797
45	0.4235104231
46	0.4224840846
47	0.4210628179
48	0.4203766046
49	0.4192901757
50	0.4185897039
51	0.4175440058
52	0.4168334037
53	0.4160545971
54	0.4155597649
55	0.4146517729
56	0.4136925181
57	0.412641881
58	0.4120685745
59	0.4111691434
60	0.4102178097
61	0.4097628687
62	0.4091014163
63	0.4085377546
64	0.4077004628
65	0.4071828021
66	0.4064385802
67	0.4058158402
68	0.4050416308
69	0.4046289226
70	0.4041737886
71	0.4037636515
72	0.4033341697
73	0.4026185628
74	0.4017792202
75	0.4009617242
76	0.4005114437
77	0.3999827582
78	0.3993775474
79	0.3990288414
80	0.3986724571
81	0.3980318469
82	0.3974731624
83	0.3968441977
84	0.3963838212
85	0.395896511
86	0.395486464
87	0.3950354645
88	0.3944042448
89	0.3938516389
90	0.3934423722
91	0.3928711976
92	0.3923670183
93	0.3917728963
94	0.3911071282
95	0.3906473659
96	0.3899953312
97	0.3896476918
98	0.3893170423
99	0.3889591733
100	0.388627308
101	0.3884474826
102	0.3879620097
103	0.3876388905
104	0.3872104847
105	0.3870049726
106	0.3866681456
107	0.3862330709
108	0.3858205606
109	0.3854355822
110	0.3849695699
111	0.3845758536
112	0.38434629
113	0.3841028874
114	0.3839224986
115	0.3836938253
116	0.3833627521
117	0.383043276
118	0.3828287654
119	0.3824360272
120	0.3820699387
121	0.3818174612
122	0.3815477841
123	0.3811998127
124	0.3808782312
125	0.3805462501
126	0.3802588427
127	0.3800624896
128	0.3797711455
129	0.3794444483
130	0.3791262533
131	0.3788272295
132	0.3786004824
133	0.3782599568
134	0.3779527892
135	0.3777531784
136	0.3776149631
137	0.3771854902
138	0.3768381104
139	0.3765598362
140	0.3761847102
141	0.3758935593
142	0.3755879817
143	0.3752800154
144	0.3749647035
145	0.3747268656
146	0.3744202501
147	0.3740681578
148	0.3739206527
149	0.3735869076
150	0.3733345971
151	0.3730176879
152	0.3726422243
153	0.3724268421
154	0.3722813796
155	0.3719764856
156	0.3717666165
157	0.3715345679
158	0.3713613745
